textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 07 Feb 2008,To: 07 Feb 2008,Burma,FY 2008,8,Christian,8,151
From: 07 Feb 2008,To: 07 Feb 2008,Cuba,FY 2008,66,Catholic,40,151
From: 07 Feb 2008,To: 07 Feb 2008,Cuba,FY 2008,66,No Religion,14,151
From: 07 Feb 2008,To: 07 Feb 2008,Cuba,FY 2008,66,Pentecostalist,8,151
From: 07 Feb 2008,To: 07 Feb 2008,Cuba,FY 2008,66,Seventh Day Adventist,4,151
From: 07 Feb 2008,To: 07 Feb 2008,Iran,FY 2008,43,Bahai,2,151
From: 07 Feb 2008,To: 07 Feb 2008,Iran,FY 2008,43,Christian,38,151
From: 07 Feb 2008,To: 07 Feb 2008,Iran,FY 2008,43,Sabeans-Mandean,3,151
From: 07 Feb 2008,To: 07 Feb 2008,Somalia,FY 2008,31,Moslem,30,151
From: 07 Feb 2008,To: 07 Feb 2008,Somalia,FY 2008,31,Moslem Suni,1,151
From: 07 Feb 2008,To: 07 Feb 2008,Sudan,FY 2008,3,Protestant,3,151

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 07 Feb 2008,To: 07 Feb 2008,Bahai,FY 2008,2,Iran,2,151
From: 07 Feb 2008,To: 07 Feb 2008,Catholic,FY 2008,40,Cuba,40,151
From: 07 Feb 2008,To: 07 Feb 2008,Christian,FY 2008,46,Burma,8,151
From: 07 Feb 2008,To: 07 Feb 2008,Christian,FY 2008,46,Iran,38,151
From: 07 Feb 2008,To: 07 Feb 2008,Moslem,FY 2008,30,Somalia,30,151
From: 07 Feb 2008,To: 07 Feb 2008,Moslem Suni,FY 2008,1,Somalia,1,151
From: 07 Feb 2008,To: 07 Feb 2008,No Religion,FY 2008,14,Cuba,14,151
From: 07 Feb 2008,To: 07 Feb 2008,Pentecostalist,FY 2008,8,Cuba,8,151
From: 07 Feb 2008,To: 07 Feb 2008,Protestant,FY 2008,3,Sudan,3,151
From: 07 Feb 2008,To: 07 Feb 2008,Sabeans-Mandean,FY 2008,3,Iran,3,151
From: 07 Feb 2008,To: 07 Feb 2008,Seventh Day Adventist,FY 2008,4,Cuba,4,151

