textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 20 Jan 2005,To: 20 Jan 2005,Afghanistan,FY 2005,6,Moslem,6,363
From: 20 Jan 2005,To: 20 Jan 2005,Armenia,FY 2005,2,Pentecostalist,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Azerbaijan,FY 2005,3,Unknown,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Burundi,FY 2005,4,Catholic,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Burundi,FY 2005,4,Christian,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Baptist,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Catholic,11,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Christian,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Evangelical Christian,5,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Jehovah Witness,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,No Religion,38,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Pentecostalist,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Cuba,FY 2005,67,Seventh Day Adventist,5,363
From: 20 Jan 2005,To: 20 Jan 2005,Eritrea,FY 2005,7,Orthodox,6,363
From: 20 Jan 2005,To: 20 Jan 2005,Eritrea,FY 2005,7,Pentecostalist,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Laos,FY 2005,99,Ancestral Worship,87,363
From: 20 Jan 2005,To: 20 Jan 2005,Laos,FY 2005,99,Christian,12,363
From: 20 Jan 2005,To: 20 Jan 2005,Russia,FY 2005,5,Jewish,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Russia,FY 2005,5,No Religion,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Rwanda,FY 2005,3,Protestant,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Somalia,FY 2005,72,Moslem,72,363
From: 20 Jan 2005,To: 20 Jan 2005,Sudan,FY 2005,38,Catholic,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Sudan,FY 2005,38,Christian,35,363
From: 20 Jan 2005,To: 20 Jan 2005,Sudan,FY 2005,38,Moslem,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Ukraine,FY 2005,39,Baptist,8,363
From: 20 Jan 2005,To: 20 Jan 2005,Ukraine,FY 2005,39,Pentecostalist,31,363
From: 20 Jan 2005,To: 20 Jan 2005,Uzbekistan,FY 2005,4,Moslem Suni,4,363
From: 20 Jan 2005,To: 20 Jan 2005,Vietnam,FY 2005,14,Buddhist,4,363
From: 20 Jan 2005,To: 20 Jan 2005,Vietnam,FY 2005,14,No Religion,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Vietnam,FY 2005,14,Unknown,8,363

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 20 Jan 2005,To: 20 Jan 2005,Ancestral Worship,FY 2005,87,Laos,87,363
From: 20 Jan 2005,To: 20 Jan 2005,Baptist,FY 2005,9,Cuba,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Baptist,FY 2005,9,Ukraine,8,363
From: 20 Jan 2005,To: 20 Jan 2005,Buddhist,FY 2005,4,Vietnam,4,363
From: 20 Jan 2005,To: 20 Jan 2005,Catholic,FY 2005,16,Burundi,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Catholic,FY 2005,16,Cuba,11,363
From: 20 Jan 2005,To: 20 Jan 2005,Catholic,FY 2005,16,Sudan,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Christian,FY 2005,51,Burundi,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Christian,FY 2005,51,Cuba,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Christian,FY 2005,51,Laos,12,363
From: 20 Jan 2005,To: 20 Jan 2005,Christian,FY 2005,51,Sudan,35,363
From: 20 Jan 2005,To: 20 Jan 2005,Evangelical Christian,FY 2005,5,Cuba,5,363
From: 20 Jan 2005,To: 20 Jan 2005,Jehovah Witness,FY 2005,3,Cuba,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Jewish,FY 2005,3,Russia,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Moslem,FY 2005,79,Afghanistan,6,363
From: 20 Jan 2005,To: 20 Jan 2005,Moslem,FY 2005,79,Somalia,72,363
From: 20 Jan 2005,To: 20 Jan 2005,Moslem,FY 2005,79,Sudan,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Moslem Suni,FY 2005,4,Uzbekistan,4,363
From: 20 Jan 2005,To: 20 Jan 2005,No Religion,FY 2005,42,Cuba,38,363
From: 20 Jan 2005,To: 20 Jan 2005,No Religion,FY 2005,42,Russia,2,363
From: 20 Jan 2005,To: 20 Jan 2005,No Religion,FY 2005,42,Vietnam,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Orthodox,FY 2005,6,Eritrea,6,363
From: 20 Jan 2005,To: 20 Jan 2005,Pentecostalist,FY 2005,35,Armenia,2,363
From: 20 Jan 2005,To: 20 Jan 2005,Pentecostalist,FY 2005,35,Cuba,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Pentecostalist,FY 2005,35,Eritrea,1,363
From: 20 Jan 2005,To: 20 Jan 2005,Pentecostalist,FY 2005,35,Ukraine,31,363
From: 20 Jan 2005,To: 20 Jan 2005,Protestant,FY 2005,3,Rwanda,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Seventh Day Adventist,FY 2005,5,Cuba,5,363
From: 20 Jan 2005,To: 20 Jan 2005,Unknown,FY 2005,11,Azerbaijan,3,363
From: 20 Jan 2005,To: 20 Jan 2005,Unknown,FY 2005,11,Vietnam,8,363

