textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 08 Mar 2004,To: 08 Mar 2004,Afghanistan,FY 2004,1,Moslem,1,103
From: 08 Mar 2004,To: 08 Mar 2004,Armenia,FY 2004,4,Pentecostalist,4,103
From: 08 Mar 2004,To: 08 Mar 2004,Ethiopia,FY 2004,25,Christian,12,103
From: 08 Mar 2004,To: 08 Mar 2004,Ethiopia,FY 2004,25,Moslem,11,103
From: 08 Mar 2004,To: 08 Mar 2004,Ethiopia,FY 2004,25,Orthodox,2,103
From: 08 Mar 2004,To: 08 Mar 2004,Iran,FY 2004,1,Moslem,1,103
From: 08 Mar 2004,To: 08 Mar 2004,Liberia,FY 2004,27,Baptist,6,103
From: 08 Mar 2004,To: 08 Mar 2004,Liberia,FY 2004,27,Christian,19,103
From: 08 Mar 2004,To: 08 Mar 2004,Liberia,FY 2004,27,Methodist,2,103
From: 08 Mar 2004,To: 08 Mar 2004,Moldova,FY 2004,35,Baptist,7,103
From: 08 Mar 2004,To: 08 Mar 2004,Moldova,FY 2004,35,Pentecostalist,28,103
From: 08 Mar 2004,To: 08 Mar 2004,Somalia,FY 2004,10,Moslem,10,103

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 08 Mar 2004,To: 08 Mar 2004,Baptist,FY 2004,13,Liberia,6,103
From: 08 Mar 2004,To: 08 Mar 2004,Baptist,FY 2004,13,Moldova,7,103
From: 08 Mar 2004,To: 08 Mar 2004,Christian,FY 2004,31,Ethiopia,12,103
From: 08 Mar 2004,To: 08 Mar 2004,Christian,FY 2004,31,Liberia,19,103
From: 08 Mar 2004,To: 08 Mar 2004,Methodist,FY 2004,2,Liberia,2,103
From: 08 Mar 2004,To: 08 Mar 2004,Moslem,FY 2004,23,Afghanistan,1,103
From: 08 Mar 2004,To: 08 Mar 2004,Moslem,FY 2004,23,Ethiopia,11,103
From: 08 Mar 2004,To: 08 Mar 2004,Moslem,FY 2004,23,Iran,1,103
From: 08 Mar 2004,To: 08 Mar 2004,Moslem,FY 2004,23,Somalia,10,103
From: 08 Mar 2004,To: 08 Mar 2004,Orthodox,FY 2004,2,Ethiopia,2,103
From: 08 Mar 2004,To: 08 Mar 2004,Pentecostalist,FY 2004,32,Armenia,4,103
From: 08 Mar 2004,To: 08 Mar 2004,Pentecostalist,FY 2004,32,Moldova,28,103

