textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 28 Jan 2003,To: 28 Jan 2003,Bosnia and Herzegovina,FY 2003,6,No Religion,6,98
From: 28 Jan 2003,To: 28 Jan 2003,Iran,FY 2003,5,Bahai,2,98
From: 28 Jan 2003,To: 28 Jan 2003,Iran,FY 2003,5,Christian,1,98
From: 28 Jan 2003,To: 28 Jan 2003,Iran,FY 2003,5,Zoroastrian,2,98
From: 28 Jan 2003,To: 28 Jan 2003,Russia,FY 2003,13,Baptist,4,98
From: 28 Jan 2003,To: 28 Jan 2003,Russia,FY 2003,13,Jewish,8,98
From: 28 Jan 2003,To: 28 Jan 2003,Russia,FY 2003,13,No Religion,1,98
From: 28 Jan 2003,To: 28 Jan 2003,Serbia,FY 2003,24,No Religion,8,98
From: 28 Jan 2003,To: 28 Jan 2003,Serbia,FY 2003,24,Orthodox,16,98
From: 28 Jan 2003,To: 28 Jan 2003,Ukraine,FY 2003,24,Baptist,3,98
From: 28 Jan 2003,To: 28 Jan 2003,Ukraine,FY 2003,24,Evangelical Christian,2,98
From: 28 Jan 2003,To: 28 Jan 2003,Ukraine,FY 2003,24,Jewish,8,98
From: 28 Jan 2003,To: 28 Jan 2003,Ukraine,FY 2003,24,Pentecostalist,11,98
From: 28 Jan 2003,To: 28 Jan 2003,Vietnam,FY 2003,26,Protestant,26,98

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 28 Jan 2003,To: 28 Jan 2003,Bahai,FY 2003,2,Iran,2,98
From: 28 Jan 2003,To: 28 Jan 2003,Baptist,FY 2003,7,Russia,4,98
From: 28 Jan 2003,To: 28 Jan 2003,Baptist,FY 2003,7,Ukraine,3,98
From: 28 Jan 2003,To: 28 Jan 2003,Christian,FY 2003,1,Iran,1,98
From: 28 Jan 2003,To: 28 Jan 2003,Evangelical Christian,FY 2003,2,Ukraine,2,98
From: 28 Jan 2003,To: 28 Jan 2003,Jewish,FY 2003,16,Russia,8,98
From: 28 Jan 2003,To: 28 Jan 2003,Jewish,FY 2003,16,Ukraine,8,98
From: 28 Jan 2003,To: 28 Jan 2003,No Religion,FY 2003,15,Bosnia and Herzegovina,6,98
From: 28 Jan 2003,To: 28 Jan 2003,No Religion,FY 2003,15,Russia,1,98
From: 28 Jan 2003,To: 28 Jan 2003,No Religion,FY 2003,15,Serbia,8,98
From: 28 Jan 2003,To: 28 Jan 2003,Orthodox,FY 2003,16,Serbia,16,98
From: 28 Jan 2003,To: 28 Jan 2003,Pentecostalist,FY 2003,11,Ukraine,11,98
From: 28 Jan 2003,To: 28 Jan 2003,Protestant,FY 2003,26,Vietnam,26,98
From: 28 Jan 2003,To: 28 Jan 2003,Zoroastrian,FY 2003,2,Iran,2,98

