textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 25 Jan 2013,To: 25 Jan 2013,Burma,FY 2013,29,Baptist,7,35
From: 25 Jan 2013,To: 25 Jan 2013,Burma,FY 2013,29,Buddhist,8,35
From: 25 Jan 2013,To: 25 Jan 2013,Burma,FY 2013,29,Christian,13,35
From: 25 Jan 2013,To: 25 Jan 2013,Burma,FY 2013,29,Seventh Day Adventist,1,35
From: 25 Jan 2013,To: 25 Jan 2013,Iraq,FY 2013,6,Moslem Suni,6,35

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 25 Jan 2013,To: 25 Jan 2013,Baptist,FY 2013,7,Burma,7,35
From: 25 Jan 2013,To: 25 Jan 2013,Buddhist,FY 2013,8,Burma,8,35
From: 25 Jan 2013,To: 25 Jan 2013,Christian,FY 2013,13,Burma,13,35
From: 25 Jan 2013,To: 25 Jan 2013,Moslem Suni,FY 2013,6,Iraq,6,35
From: 25 Jan 2013,To: 25 Jan 2013,Seventh Day Adventist,FY 2013,1,Burma,1,35

