textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 09 May 2002,To: 09 May 2002,Bosnia and Herzegovina,FY 2002,8,Moslem,7,39
From: 09 May 2002,To: 09 May 2002,Bosnia and Herzegovina,FY 2002,8,Orthodox,1,39
From: 09 May 2002,To: 09 May 2002,Cuba,FY 2002,25,Baptist,2,39
From: 09 May 2002,To: 09 May 2002,Cuba,FY 2002,25,Catholic,5,39
From: 09 May 2002,To: 09 May 2002,Cuba,FY 2002,25,Jehovah Witness,9,39
From: 09 May 2002,To: 09 May 2002,Cuba,FY 2002,25,No Religion,9,39
From: 09 May 2002,To: 09 May 2002,Liberia,FY 2002,4,Moslem,4,39
From: 09 May 2002,To: 09 May 2002,Sierra Leone,FY 2002,2,Christian,2,39

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 09 May 2002,To: 09 May 2002,Baptist,FY 2002,2,Cuba,2,39
From: 09 May 2002,To: 09 May 2002,Catholic,FY 2002,5,Cuba,5,39
From: 09 May 2002,To: 09 May 2002,Christian,FY 2002,2,Sierra Leone,2,39
From: 09 May 2002,To: 09 May 2002,Jehovah Witness,FY 2002,9,Cuba,9,39
From: 09 May 2002,To: 09 May 2002,Moslem,FY 2002,11,Bosnia and Herzegovina,7,39
From: 09 May 2002,To: 09 May 2002,Moslem,FY 2002,11,Liberia,4,39
From: 09 May 2002,To: 09 May 2002,No Religion,FY 2002,9,Cuba,9,39
From: 09 May 2002,To: 09 May 2002,Orthodox,FY 2002,1,Bosnia and Herzegovina,1,39

