textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 28 Oct 2009,To: 28 Oct 2009,Afghanistan,FY 2010,6,Moslem Suni,6,411
From: 28 Oct 2009,To: 28 Oct 2009,Bhutan,FY 2010,35,Buddhist,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Bhutan,FY 2010,35,Hindu,27,411
From: 28 Oct 2009,To: 28 Oct 2009,Bhutan,FY 2010,35,Kirat,6,411
From: 28 Oct 2009,To: 28 Oct 2009,Burma,FY 2010,79,Animist,13,411
From: 28 Oct 2009,To: 28 Oct 2009,Burma,FY 2010,79,Baptist,5,411
From: 28 Oct 2009,To: 28 Oct 2009,Burma,FY 2010,79,Buddhist,12,411
From: 28 Oct 2009,To: 28 Oct 2009,Burma,FY 2010,79,Catholic,8,411
From: 28 Oct 2009,To: 28 Oct 2009,Burma,FY 2010,79,Christian,36,411
From: 28 Oct 2009,To: 28 Oct 2009,Burma,FY 2010,79,Moslem,5,411
From: 28 Oct 2009,To: 28 Oct 2009,China,FY 2010,2,Christian,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Cuba,FY 2010,32,Catholic,10,411
From: 28 Oct 2009,To: 28 Oct 2009,Cuba,FY 2010,32,Jehovah Witness,9,411
From: 28 Oct 2009,To: 28 Oct 2009,Cuba,FY 2010,32,No Religion,13,411
From: 28 Oct 2009,To: 28 Oct 2009,Dem. Rep. Congo,FY 2010,16,Jehovah Witness,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Dem. Rep. Congo,FY 2010,16,Pentecostalist,14,411
From: 28 Oct 2009,To: 28 Oct 2009,Eritrea,FY 2010,1,Orthodox,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Ethiopia,FY 2010,2,Orthodox,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Ethiopia,FY 2010,2,Pentecostalist,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Iran,FY 2010,39,Christian,26,411
From: 28 Oct 2009,To: 28 Oct 2009,Iran,FY 2010,39,Jewish,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Iran,FY 2010,39,Moslem Shiite,4,411
From: 28 Oct 2009,To: 28 Oct 2009,Iran,FY 2010,39,Sabeans-Mandean,3,411
From: 28 Oct 2009,To: 28 Oct 2009,Iran,FY 2010,39,Zoroastrian,4,411
From: 28 Oct 2009,To: 28 Oct 2009,Iraq,FY 2010,77,Catholic,14,411
From: 28 Oct 2009,To: 28 Oct 2009,Iraq,FY 2010,77,Christian,25,411
From: 28 Oct 2009,To: 28 Oct 2009,Iraq,FY 2010,77,Moslem Shiite,15,411
From: 28 Oct 2009,To: 28 Oct 2009,Iraq,FY 2010,77,Moslem Suni,23,411
From: 28 Oct 2009,To: 28 Oct 2009,Liberia,FY 2010,9,Christian,9,411
From: 28 Oct 2009,To: 28 Oct 2009,Russia,FY 2010,16,Baptist,14,411
From: 28 Oct 2009,To: 28 Oct 2009,Russia,FY 2010,16,No Religion,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Somalia,FY 2010,48,Moslem,48,411
From: 28 Oct 2009,To: 28 Oct 2009,Sri Lanka (Ceylon),FY 2010,1,Moslem,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Ukraine,FY 2010,13,Atheist,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Ukraine,FY 2010,13,Baptist,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Ukraine,FY 2010,13,No Religion,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Ukraine,FY 2010,13,Pentecostalist,6,411
From: 28 Oct 2009,To: 28 Oct 2009,Ukraine,FY 2010,13,Seventh Day Adventist,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Vietnam,FY 2010,35,Ancestral Worship,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Vietnam,FY 2010,35,Buddhist,18,411
From: 28 Oct 2009,To: 28 Oct 2009,Vietnam,FY 2010,35,Catholic,11,411
From: 28 Oct 2009,To: 28 Oct 2009,Vietnam,FY 2010,35,No Religion,5,411

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 28 Oct 2009,To: 28 Oct 2009,Ancestral Worship,FY 2010,1,Vietnam,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Animist,FY 2010,13,Burma,13,411
From: 28 Oct 2009,To: 28 Oct 2009,Atheist,FY 2010,2,Ukraine,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Baptist,FY 2010,21,Burma,5,411
From: 28 Oct 2009,To: 28 Oct 2009,Baptist,FY 2010,21,Russia,14,411
From: 28 Oct 2009,To: 28 Oct 2009,Baptist,FY 2010,21,Ukraine,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Buddhist,FY 2010,32,Bhutan,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Buddhist,FY 2010,32,Burma,12,411
From: 28 Oct 2009,To: 28 Oct 2009,Buddhist,FY 2010,32,Vietnam,18,411
From: 28 Oct 2009,To: 28 Oct 2009,Catholic,FY 2010,43,Burma,8,411
From: 28 Oct 2009,To: 28 Oct 2009,Catholic,FY 2010,43,Cuba,10,411
From: 28 Oct 2009,To: 28 Oct 2009,Catholic,FY 2010,43,Iraq,14,411
From: 28 Oct 2009,To: 28 Oct 2009,Catholic,FY 2010,43,Vietnam,11,411
From: 28 Oct 2009,To: 28 Oct 2009,Christian,FY 2010,98,Burma,36,411
From: 28 Oct 2009,To: 28 Oct 2009,Christian,FY 2010,98,China,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Christian,FY 2010,98,Iran,26,411
From: 28 Oct 2009,To: 28 Oct 2009,Christian,FY 2010,98,Iraq,25,411
From: 28 Oct 2009,To: 28 Oct 2009,Christian,FY 2010,98,Liberia,9,411
From: 28 Oct 2009,To: 28 Oct 2009,Hindu,FY 2010,27,Bhutan,27,411
From: 28 Oct 2009,To: 28 Oct 2009,Jehovah Witness,FY 2010,11,Cuba,9,411
From: 28 Oct 2009,To: 28 Oct 2009,Jehovah Witness,FY 2010,11,Dem. Rep. Congo,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Jewish,FY 2010,2,Iran,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Kirat,FY 2010,6,Bhutan,6,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem,FY 2010,54,Burma,5,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem,FY 2010,54,Somalia,48,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem,FY 2010,54,Sri Lanka (Ceylon),1,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem Shiite,FY 2010,19,Iran,4,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem Shiite,FY 2010,19,Iraq,15,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem Suni,FY 2010,29,Afghanistan,6,411
From: 28 Oct 2009,To: 28 Oct 2009,Moslem Suni,FY 2010,29,Iraq,23,411
From: 28 Oct 2009,To: 28 Oct 2009,No Religion,FY 2010,21,Cuba,13,411
From: 28 Oct 2009,To: 28 Oct 2009,No Religion,FY 2010,21,Russia,2,411
From: 28 Oct 2009,To: 28 Oct 2009,No Religion,FY 2010,21,Ukraine,1,411
From: 28 Oct 2009,To: 28 Oct 2009,No Religion,FY 2010,21,Vietnam,5,411
From: 28 Oct 2009,To: 28 Oct 2009,Orthodox,FY 2010,2,Eritrea,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Orthodox,FY 2010,2,Ethiopia,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Pentecostalist,FY 2010,21,Dem. Rep. Congo,14,411
From: 28 Oct 2009,To: 28 Oct 2009,Pentecostalist,FY 2010,21,Ethiopia,1,411
From: 28 Oct 2009,To: 28 Oct 2009,Pentecostalist,FY 2010,21,Ukraine,6,411
From: 28 Oct 2009,To: 28 Oct 2009,Sabeans-Mandean,FY 2010,3,Iran,3,411
From: 28 Oct 2009,To: 28 Oct 2009,Seventh Day Adventist,FY 2010,2,Ukraine,2,411
From: 28 Oct 2009,To: 28 Oct 2009,Zoroastrian,FY 2010,4,Iran,4,411

