textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 09 Mar 2017,To: 09 Mar 2017,Afghanistan,FY 2017,5,Moslem Suni,5,147
From: 09 Mar 2017,To: 09 Mar 2017,Burma,FY 2017,8,Christian,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Burma,FY 2017,8,Moslem,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Burundi,FY 2017,6,Catholic,2,147
From: 09 Mar 2017,To: 09 Mar 2017,Burundi,FY 2017,6,Christian,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Cuba,FY 2017,3,No Religion,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Dem. Rep. Congo,FY 2017,3,Christian,3,147
From: 09 Mar 2017,To: 09 Mar 2017,El Salvador,FY 2017,1,Catholic,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Eritrea,FY 2017,24,Catholic,11,147
From: 09 Mar 2017,To: 09 Mar 2017,Eritrea,FY 2017,24,Christian,2,147
From: 09 Mar 2017,To: 09 Mar 2017,Eritrea,FY 2017,24,Orthodox,11,147
From: 09 Mar 2017,To: 09 Mar 2017,Ethiopia,FY 2017,8,Catholic,2,147
From: 09 Mar 2017,To: 09 Mar 2017,Ethiopia,FY 2017,8,Christian,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Ethiopia,FY 2017,8,Moslem,5,147
From: 09 Mar 2017,To: 09 Mar 2017,Honduras,FY 2017,4,Catholic,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Honduras,FY 2017,4,Evangelical Christian,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Iran,FY 2017,3,Christian,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Iraq,FY 2017,38,Moslem,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Iraq,FY 2017,38,Yezidi,37,147
From: 09 Mar 2017,To: 09 Mar 2017,Ivory Coast,FY 2017,1,Protestant,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Pakistan,FY 2017,20,Ahmadiyya,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Pakistan,FY 2017,20,Catholic,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Pakistan,FY 2017,20,Christian,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Pakistan,FY 2017,20,Moslem,10,147
From: 09 Mar 2017,To: 09 Mar 2017,Somalia,FY 2017,10,Moslem,9,147
