textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 21 Jan 2010,To: 21 Jan 2010,Bhutan,FY 2010,61,Buddhist,4,360
From: 21 Jan 2010,To: 21 Jan 2010,Bhutan,FY 2010,61,Christian,7,360
From: 21 Jan 2010,To: 21 Jan 2010,Bhutan,FY 2010,61,Hindu,50,360
From: 21 Jan 2010,To: 21 Jan 2010,Burma,FY 2010,89,Baptist,2,360
From: 21 Jan 2010,To: 21 Jan 2010,Burma,FY 2010,89,Buddhist,19,360
From: 21 Jan 2010,To: 21 Jan 2010,Burma,FY 2010,89,Christian,54,360
From: 21 Jan 2010,To: 21 Jan 2010,Burma,FY 2010,89,Moslem,11,360
From: 21 Jan 2010,To: 21 Jan 2010,Burma,FY 2010,89,Pentecostalist,3,360
From: 21 Jan 2010,To: 21 Jan 2010,Burundi,FY 2010,1,Christian,1,360
From: 21 Jan 2010,To: 21 Jan 2010,China,FY 2010,1,Christian,1,360
From: 21 Jan 2010,To: 21 Jan 2010,Cuba,FY 2010,62,Catholic,15,360
From: 21 Jan 2010,To: 21 Jan 2010,Cuba,FY 2010,62,Evangelical Christian,10,360
From: 21 Jan 2010,To: 21 Jan 2010,Cuba,FY 2010,62,Jehovah Witness,9,360
From: 21 Jan 2010,To: 21 Jan 2010,Cuba,FY 2010,62,No Religion,23,360
From: 21 Jan 2010,To: 21 Jan 2010,Cuba,FY 2010,62,Pentecostalist,5,360
From: 21 Jan 2010,To: 21 Jan 2010,Dem. Rep. Congo,FY 2010,56,Catholic,2,360
From: 21 Jan 2010,To: 21 Jan 2010,Dem. Rep. Congo,FY 2010,56,Christian,4,360
From: 21 Jan 2010,To: 21 Jan 2010,Dem. Rep. Congo,FY 2010,56,Methodist,4,360
From: 21 Jan 2010,To: 21 Jan 2010,Dem. Rep. Congo,FY 2010,56,Pentecostalist,25,360
