textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 11 Sep 2008,To: 11 Sep 2008,Afghanistan,FY 2008,3,Moslem Suni,3,723
From: 11 Sep 2008,To: 11 Sep 2008,Bhutan,FY 2008,108,Buddhist,10,723
From: 11 Sep 2008,To: 11 Sep 2008,Bhutan,FY 2008,108,Hindu,96,723
From: 11 Sep 2008,To: 11 Sep 2008,Bhutan,FY 2008,108,Kirat,2,723
From: 11 Sep 2008,To: 11 Sep 2008,Burma,FY 2008,166,Buddhist,51,723
From: 11 Sep 2008,To: 11 Sep 2008,Burma,FY 2008,166,Catholic,1,723
From: 11 Sep 2008,To: 11 Sep 2008,Burma,FY 2008,166,Christian,78,723
From: 11 Sep 2008,To: 11 Sep 2008,Burma,FY 2008,166,Moslem,36,723
From: 11 Sep 2008,To: 11 Sep 2008,Burundi,FY 2008,8,Pentecostalist,8,723
From: 11 Sep 2008,To: 11 Sep 2008,Central African Republic,FY 2008,6,Pentecostalist,1,723
From: 11 Sep 2008,To: 11 Sep 2008,Central African Republic,FY 2008,6,Protestant,5,723
From: 11 Sep 2008,To: 11 Sep 2008,Cuba,FY 2008,54,Catholic,29,723
From: 11 Sep 2008,To: 11 Sep 2008,Cuba,FY 2008,54,Jehovah Witness,3,723
From: 11 Sep 2008,To: 11 Sep 2008,Cuba,FY 2008,54,Methodist,2,723
From: 11 Sep 2008,To: 11 Sep 2008,Cuba,FY 2008,54,No Religion,20,723
From: 11 Sep 2008,To: 11 Sep 2008,Dem. Rep. Congo,FY 2008,9,Pentecostalist,9,723
From: 11 Sep 2008,To: 11 Sep 2008,Egypt,FY 2008,1,Christian,1,723
From: 11 Sep 2008,To: 11 Sep 2008,Iran,FY 2008,71,Bahai,23,723
From: 11 Sep 2008,To: 11 Sep 2008,Iran,FY 2008,71,Christian,36,723
From: 11 Sep 2008,To: 11 Sep 2008,Iran,FY 2008,71,Moslem,9,723
From: 11 Sep 2008,To: 11 Sep 2008,Iran,FY 2008,71,Moslem Shiite,1,723
From: 11 Sep 2008,To: 11 Sep 2008,Iran,FY 2008,71,Zoroastrian,2,723
From: 11 Sep 2008,To: 11 Sep 2008,Iraq,FY 2008,174,Catholic,5,723
From: 11 Sep 2008,To: 11 Sep 2008,Iraq,FY 2008,174,Christian,60,723
From: 11 Sep 2008,To: 11 Sep 2008,Iraq,FY 2008,174,Moslem Shiite,40,723
From: 11 Sep 2008,To: 11 Sep 2008,Iraq,FY 2008,174,Moslem Suni,59,723
From: 11 Sep 2008,To: 11 Sep 2008,Iraq,FY 2008,174,Orthodox,3,723
From: 11 Sep 2008,To: 11 Sep 2008,Iraq,FY 2008,174,Sabeans-Mandean,7,723
From: 11 Sep 2008,To: 11 Sep 2008,Liberia,FY 2008,2,Christian,2,723
From: 11 Sep 2008,To: 11 Sep 2008,Nigeria,FY 2008,1,Unknown,1,723
From: 11 Sep 2008,To: 11 Sep 2008,Rwanda,FY 2008,3,Catholic,1,723
