textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 13 Nov 2007,To: 13 Nov 2007,Burma,FY 2008,60,Christian,60,225
From: 13 Nov 2007,To: 13 Nov 2007,Burundi,FY 2008,18,Catholic,15,225
From: 13 Nov 2007,To: 13 Nov 2007,Burundi,FY 2008,18,Pentecostalist,3,225
From: 13 Nov 2007,To: 13 Nov 2007,Iran,FY 2008,35,Christian,32,225
From: 13 Nov 2007,To: 13 Nov 2007,Iran,FY 2008,35,Zoroastrian,3,225
From: 13 Nov 2007,To: 13 Nov 2007,Iraq,FY 2008,26,Catholic,7,225
From: 13 Nov 2007,To: 13 Nov 2007,Iraq,FY 2008,26,Christian,1,225
From: 13 Nov 2007,To: 13 Nov 2007,Iraq,FY 2008,26,Moslem Shiite,12,225
From: 13 Nov 2007,To: 13 Nov 2007,Iraq,FY 2008,26,Moslem Suni,6,225
From: 13 Nov 2007,To: 13 Nov 2007,Liberia,FY 2008,57,Christian,56,225
From: 13 Nov 2007,To: 13 Nov 2007,Liberia,FY 2008,57,Pentecostalist,1,225
From: 13 Nov 2007,To: 13 Nov 2007,Rwanda,FY 2008,8,Christian,8,225
From: 13 Nov 2007,To: 13 Nov 2007,Sierra Leone,FY 2008,9,Moslem,9,225
From: 13 Nov 2007,To: 13 Nov 2007,Ukraine,FY 2008,12,Pentecostalist,12,225

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 13 Nov 2007,To: 13 Nov 2007,Catholic,FY 2008,22,Burundi,15,225
From: 13 Nov 2007,To: 13 Nov 2007,Catholic,FY 2008,22,Iraq,7,225
From: 13 Nov 2007,To: 13 Nov 2007,Christian,FY 2008,157,Burma,60,225
From: 13 Nov 2007,To: 13 Nov 2007,Christian,FY 2008,157,Iran,32,225
From: 13 Nov 2007,To: 13 Nov 2007,Christian,FY 2008,157,Iraq,1,225
From: 13 Nov 2007,To: 13 Nov 2007,Christian,FY 2008,157,Liberia,56,225
From: 13 Nov 2007,To: 13 Nov 2007,Christian,FY 2008,157,Rwanda,8,225
From: 13 Nov 2007,To: 13 Nov 2007,Moslem,FY 2008,9,Sierra Leone,9,225
From: 13 Nov 2007,To: 13 Nov 2007,Moslem Shiite,FY 2008,12,Iraq,12,225
From: 13 Nov 2007,To: 13 Nov 2007,Moslem Suni,FY 2008,6,Iraq,6,225
From: 13 Nov 2007,To: 13 Nov 2007,Pentecostalist,FY 2008,16,Burundi,3,225
From: 13 Nov 2007,To: 13 Nov 2007,Pentecostalist,FY 2008,16,Liberia,1,225
From: 13 Nov 2007,To: 13 Nov 2007,Pentecostalist,FY 2008,16,Ukraine,12,225
From: 13 Nov 2007,To: 13 Nov 2007,Zoroastrian,FY 2008,3,Iran,3,225

