textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 13 Mar 2006,To: 13 Mar 2006,Belarus,FY 2006,9,Jewish,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Belarus,FY 2006,9,Pentecostalist,8,132
From: 13 Mar 2006,To: 13 Mar 2006,Congo,FY 2006,1,Christian,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Ivory Coast,FY 2006,4,Christian,4,132
From: 13 Mar 2006,To: 13 Mar 2006,Liberia,FY 2006,14,Christian,14,132
From: 13 Mar 2006,To: 13 Mar 2006,Mauritania,FY 2006,7,Moslem,7,132
From: 13 Mar 2006,To: 13 Mar 2006,Russia,FY 2006,30,Moslem,30,132
From: 13 Mar 2006,To: 13 Mar 2006,Rwanda,FY 2006,1,Catholic,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Sierra Leone,FY 2006,8,Jehovah Witness,2,132
From: 13 Mar 2006,To: 13 Mar 2006,Sierra Leone,FY 2006,8,Moslem,6,132
From: 13 Mar 2006,To: 13 Mar 2006,Somalia,FY 2006,15,Moslem,15,132
From: 13 Mar 2006,To: 13 Mar 2006,Sudan,FY 2006,17,Catholic,2,132
From: 13 Mar 2006,To: 13 Mar 2006,Sudan,FY 2006,17,Evangelical Christian,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Sudan,FY 2006,17,Moslem,12,132
From: 13 Mar 2006,To: 13 Mar 2006,Sudan,FY 2006,17,Protestant,2,132
From: 13 Mar 2006,To: 13 Mar 2006,Ukraine,FY 2006,26,Baptist,12,132
From: 13 Mar 2006,To: 13 Mar 2006,Ukraine,FY 2006,26,Evangelical Christian,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Ukraine,FY 2006,26,Pentecostalist,8,132
From: 13 Mar 2006,To: 13 Mar 2006,Ukraine,FY 2006,26,Seventh Day Adventist,5,132

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 13 Mar 2006,To: 13 Mar 2006,Baptist,FY 2006,12,Ukraine,12,132
From: 13 Mar 2006,To: 13 Mar 2006,Catholic,FY 2006,3,Rwanda,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Catholic,FY 2006,3,Sudan,2,132
From: 13 Mar 2006,To: 13 Mar 2006,Christian,FY 2006,19,Congo,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Christian,FY 2006,19,Ivory Coast,4,132
From: 13 Mar 2006,To: 13 Mar 2006,Christian,FY 2006,19,Liberia,14,132
From: 13 Mar 2006,To: 13 Mar 2006,Evangelical Christian,FY 2006,2,Sudan,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Evangelical Christian,FY 2006,2,Ukraine,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Jehovah Witness,FY 2006,2,Sierra Leone,2,132
From: 13 Mar 2006,To: 13 Mar 2006,Jewish,FY 2006,1,Belarus,1,132
From: 13 Mar 2006,To: 13 Mar 2006,Moslem,FY 2006,70,Mauritania,7,132
From: 13 Mar 2006,To: 13 Mar 2006,Moslem,FY 2006,70,Russia,30,132
From: 13 Mar 2006,To: 13 Mar 2006,Moslem,FY 2006,70,Sierra Leone,6,132
From: 13 Mar 2006,To: 13 Mar 2006,Moslem,FY 2006,70,Somalia,15,132
From: 13 Mar 2006,To: 13 Mar 2006,Moslem,FY 2006,70,Sudan,12,132
From: 13 Mar 2006,To: 13 Mar 2006,Pentecostalist,FY 2006,16,Belarus,8,132
From: 13 Mar 2006,To: 13 Mar 2006,Pentecostalist,FY 2006,16,Ukraine,8,132
From: 13 Mar 2006,To: 13 Mar 2006,Protestant,FY 2006,2,Sudan,2,132
From: 13 Mar 2006,To: 13 Mar 2006,Seventh Day Adventist,FY 2006,5,Ukraine,5,132

