textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 07 Jul 2006,To: 07 Jul 2006,Belarus,FY 2006,10,Jewish,2,54
From: 07 Jul 2006,To: 07 Jul 2006,Belarus,FY 2006,10,Pentecostalist,8,54
From: 07 Jul 2006,To: 07 Jul 2006,Moldova,FY 2006,17,Baptist,11,54
From: 07 Jul 2006,To: 07 Jul 2006,Moldova,FY 2006,17,Jewish,2,54
From: 07 Jul 2006,To: 07 Jul 2006,Moldova,FY 2006,17,Pentecostalist,4,54
From: 07 Jul 2006,To: 07 Jul 2006,Russia,FY 2006,7,Pentecostalist,7,54
From: 07 Jul 2006,To: 07 Jul 2006,Ukraine,FY 2006,20,Baptist,6,54
From: 07 Jul 2006,To: 07 Jul 2006,Ukraine,FY 2006,20,Pentecostalist,8,54
From: 07 Jul 2006,To: 07 Jul 2006,Ukraine,FY 2006,20,Uniate,6,54

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 07 Jul 2006,To: 07 Jul 2006,Baptist,FY 2006,17,Moldova,11,54
From: 07 Jul 2006,To: 07 Jul 2006,Baptist,FY 2006,17,Ukraine,6,54
From: 07 Jul 2006,To: 07 Jul 2006,Jewish,FY 2006,4,Belarus,2,54
From: 07 Jul 2006,To: 07 Jul 2006,Jewish,FY 2006,4,Moldova,2,54
From: 07 Jul 2006,To: 07 Jul 2006,Pentecostalist,FY 2006,27,Belarus,8,54
From: 07 Jul 2006,To: 07 Jul 2006,Pentecostalist,FY 2006,27,Moldova,4,54
From: 07 Jul 2006,To: 07 Jul 2006,Pentecostalist,FY 2006,27,Russia,7,54
From: 07 Jul 2006,To: 07 Jul 2006,Pentecostalist,FY 2006,27,Ukraine,8,54
From: 07 Jul 2006,To: 07 Jul 2006,Uniate,FY 2006,6,Ukraine,6,54

