textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 03 Apr 2014,To: 03 Apr 2014,Afghanistan,FY 2014,3,Moslem Shiite,1,251
From: 03 Apr 2014,To: 03 Apr 2014,Afghanistan,FY 2014,3,Moslem Suni,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Bhutan,FY 2014,85,Buddhist,30,251
From: 03 Apr 2014,To: 03 Apr 2014,Bhutan,FY 2014,85,Christian,5,251
From: 03 Apr 2014,To: 03 Apr 2014,Bhutan,FY 2014,85,Hindu,23,251
From: 03 Apr 2014,To: 03 Apr 2014,Bhutan,FY 2014,85,Kirat,27,251
From: 03 Apr 2014,To: 03 Apr 2014,Burma,FY 2014,86,Animist,12,251
From: 03 Apr 2014,To: 03 Apr 2014,Burma,FY 2014,86,Baptist,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Burma,FY 2014,86,Buddhist,8,251
From: 03 Apr 2014,To: 03 Apr 2014,Burma,FY 2014,86,Catholic,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Burma,FY 2014,86,Christian,54,251
From: 03 Apr 2014,To: 03 Apr 2014,Burma,FY 2014,86,Moslem,8,251
From: 03 Apr 2014,To: 03 Apr 2014,Cambodia,FY 2014,5,Buddhist,5,251
From: 03 Apr 2014,To: 03 Apr 2014,Congo,FY 2014,1,Pentecostalist,1,251
From: 03 Apr 2014,To: 03 Apr 2014,Cuba,FY 2014,47,Catholic,19,251
From: 03 Apr 2014,To: 03 Apr 2014,Cuba,FY 2014,47,Evangelical Christian,4,251
From: 03 Apr 2014,To: 03 Apr 2014,Cuba,FY 2014,47,Methodist,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Cuba,FY 2014,47,No Religion,14,251
From: 03 Apr 2014,To: 03 Apr 2014,Cuba,FY 2014,47,Other Religion,4,251
From: 03 Apr 2014,To: 03 Apr 2014,Cuba,FY 2014,47,Pentecostalist,4,251
From: 03 Apr 2014,To: 03 Apr 2014,Eritrea,FY 2014,3,Orthodox,3,251
From: 03 Apr 2014,To: 03 Apr 2014,Iraq,FY 2014,13,Moslem,8,251
From: 03 Apr 2014,To: 03 Apr 2014,Iraq,FY 2014,13,Moslem Suni,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Iraq,FY 2014,13,Orthodox,3,251
From: 03 Apr 2014,To: 03 Apr 2014,Somalia,FY 2014,7,Moslem,5,251
From: 03 Apr 2014,To: 03 Apr 2014,Somalia,FY 2014,7,Moslem Suni,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Sudan,FY 2014,1,Moslem,1,251

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 03 Apr 2014,To: 03 Apr 2014,Animist,FY 2014,12,Burma,12,251
From: 03 Apr 2014,To: 03 Apr 2014,Baptist,FY 2014,2,Burma,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Buddhist,FY 2014,43,Bhutan,30,251
From: 03 Apr 2014,To: 03 Apr 2014,Buddhist,FY 2014,43,Burma,8,251
From: 03 Apr 2014,To: 03 Apr 2014,Buddhist,FY 2014,43,Cambodia,5,251
From: 03 Apr 2014,To: 03 Apr 2014,Catholic,FY 2014,21,Burma,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Catholic,FY 2014,21,Cuba,19,251
From: 03 Apr 2014,To: 03 Apr 2014,Christian,FY 2014,59,Bhutan,5,251
From: 03 Apr 2014,To: 03 Apr 2014,Christian,FY 2014,59,Burma,54,251
From: 03 Apr 2014,To: 03 Apr 2014,Evangelical Christian,FY 2014,4,Cuba,4,251
From: 03 Apr 2014,To: 03 Apr 2014,Hindu,FY 2014,23,Bhutan,23,251
From: 03 Apr 2014,To: 03 Apr 2014,Kirat,FY 2014,27,Bhutan,27,251
From: 03 Apr 2014,To: 03 Apr 2014,Methodist,FY 2014,2,Cuba,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem,FY 2014,22,Burma,8,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem,FY 2014,22,Iraq,8,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem,FY 2014,22,Somalia,5,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem,FY 2014,22,Sudan,1,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem Shiite,FY 2014,1,Afghanistan,1,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem Suni,FY 2014,6,Afghanistan,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem Suni,FY 2014,6,Iraq,2,251
From: 03 Apr 2014,To: 03 Apr 2014,Moslem Suni,FY 2014,6,Somalia,2,251
From: 03 Apr 2014,To: 03 Apr 2014,No Religion,FY 2014,14,Cuba,14,251
From: 03 Apr 2014,To: 03 Apr 2014,Orthodox,FY 2014,6,Eritrea,3,251
From: 03 Apr 2014,To: 03 Apr 2014,Orthodox,FY 2014,6,Iraq,3,251
From: 03 Apr 2014,To: 03 Apr 2014,Other Religion,FY 2014,4,Cuba,4,251
From: 03 Apr 2014,To: 03 Apr 2014,Pentecostalist,FY 2014,5,Congo,1,251
From: 03 Apr 2014,To: 03 Apr 2014,Pentecostalist,FY 2014,5,Cuba,4,251

