textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 14 Nov 2007,To: 14 Nov 2007,Afghanistan,FY 2008,1,Moslem Suni,1,248
From: 14 Nov 2007,To: 14 Nov 2007,Belarus,FY 2008,2,Baptist,2,248
From: 14 Nov 2007,To: 14 Nov 2007,Burma,FY 2008,56,Buddhist,2,248
From: 14 Nov 2007,To: 14 Nov 2007,Burma,FY 2008,56,Christian,42,248
From: 14 Nov 2007,To: 14 Nov 2007,Burma,FY 2008,56,Moslem,12,248
From: 14 Nov 2007,To: 14 Nov 2007,Colombia,FY 2008,18,Unknown,18,248
From: 14 Nov 2007,To: 14 Nov 2007,Dem. Rep. Congo,FY 2008,1,Christian,1,248
From: 14 Nov 2007,To: 14 Nov 2007,Iran,FY 2008,65,Bahai,31,248
From: 14 Nov 2007,To: 14 Nov 2007,Iran,FY 2008,65,Christian,23,248
From: 14 Nov 2007,To: 14 Nov 2007,Iran,FY 2008,65,Jewish,3,248
From: 14 Nov 2007,To: 14 Nov 2007,Iran,FY 2008,65,Sabeans-Mandean,4,248
From: 14 Nov 2007,To: 14 Nov 2007,Iran,FY 2008,65,Zoroastrian,4,248
From: 14 Nov 2007,To: 14 Nov 2007,Iraq,FY 2008,26,Catholic,9,248
From: 14 Nov 2007,To: 14 Nov 2007,Iraq,FY 2008,26,Christian,3,248
From: 14 Nov 2007,To: 14 Nov 2007,Iraq,FY 2008,26,Moslem Shiite,1,248
From: 14 Nov 2007,To: 14 Nov 2007,Iraq,FY 2008,26,Moslem Suni,5,248
From: 14 Nov 2007,To: 14 Nov 2007,Iraq,FY 2008,26,Sabeans-Mandean,8,248
From: 14 Nov 2007,To: 14 Nov 2007,Kyrgyzstan,FY 2008,1,Jewish,1,248
From: 14 Nov 2007,To: 14 Nov 2007,Laos,FY 2008,6,Ancestral Worship,6,248
From: 14 Nov 2007,To: 14 Nov 2007,Liberia,FY 2008,8,Christian,8,248
From: 14 Nov 2007,To: 14 Nov 2007,Russia,FY 2008,4,Baptist,1,248
From: 14 Nov 2007,To: 14 Nov 2007,Russia,FY 2008,4,Pentecostalist,1,248
