textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 15 Aug 2002,To: 15 Aug 2002,Iran,FY 2002,1,Moslem,1,40
From: 15 Aug 2002,To: 15 Aug 2002,Kazakhstan,FY 2002,4,Baptist,4,40
From: 15 Aug 2002,To: 15 Aug 2002,Russia,FY 2002,17,Baptist,6,40
From: 15 Aug 2002,To: 15 Aug 2002,Russia,FY 2002,17,Jewish,7,40
From: 15 Aug 2002,To: 15 Aug 2002,Russia,FY 2002,17,Unknown,4,40
From: 15 Aug 2002,To: 15 Aug 2002,Ukraine,FY 2002,14,Baptist,6,40
From: 15 Aug 2002,To: 15 Aug 2002,Ukraine,FY 2002,14,No Religion,1,40
From: 15 Aug 2002,To: 15 Aug 2002,Ukraine,FY 2002,14,Pentecostalist,7,40
From: 15 Aug 2002,To: 15 Aug 2002,Vietnam,FY 2002,4,Catholic,4,40

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 15 Aug 2002,To: 15 Aug 2002,Baptist,FY 2002,16,Kazakhstan,4,40
From: 15 Aug 2002,To: 15 Aug 2002,Baptist,FY 2002,16,Russia,6,40
From: 15 Aug 2002,To: 15 Aug 2002,Baptist,FY 2002,16,Ukraine,6,40
From: 15 Aug 2002,To: 15 Aug 2002,Catholic,FY 2002,4,Vietnam,4,40
From: 15 Aug 2002,To: 15 Aug 2002,Jewish,FY 2002,7,Russia,7,40
From: 15 Aug 2002,To: 15 Aug 2002,Moslem,FY 2002,1,Iran,1,40
From: 15 Aug 2002,To: 15 Aug 2002,No Religion,FY 2002,1,Ukraine,1,40
From: 15 Aug 2002,To: 15 Aug 2002,Pentecostalist,FY 2002,7,Ukraine,7,40
From: 15 Aug 2002,To: 15 Aug 2002,Unknown,FY 2002,4,Russia,4,40

