textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 27 Aug 2007,To: 27 Aug 2007,Afghanistan,FY 2007,5,Moslem Suni,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Azerbaijan,FY 2007,6,Jewish,6,150
From: 27 Aug 2007,To: 27 Aug 2007,Eritrea,FY 2007,5,Jehovah Witness,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Iran,FY 2007,20,Christian,16,150
From: 27 Aug 2007,To: 27 Aug 2007,Iran,FY 2007,20,Sabeans-Mandean,4,150
From: 27 Aug 2007,To: 27 Aug 2007,Iraq,FY 2007,79,Catholic,51,150
From: 27 Aug 2007,To: 27 Aug 2007,Iraq,FY 2007,79,Christian,19,150
From: 27 Aug 2007,To: 27 Aug 2007,Iraq,FY 2007,79,Moslem Suni,9,150
From: 27 Aug 2007,To: 27 Aug 2007,Russia,FY 2007,12,Baptist,3,150
From: 27 Aug 2007,To: 27 Aug 2007,Russia,FY 2007,12,Jewish,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Russia,FY 2007,12,No Religion,1,150
From: 27 Aug 2007,To: 27 Aug 2007,Russia,FY 2007,12,Pentecostalist,1,150
From: 27 Aug 2007,To: 27 Aug 2007,Russia,FY 2007,12,Seventh Day Adventist,2,150
From: 27 Aug 2007,To: 27 Aug 2007,Somalia,FY 2007,14,Moslem,14,150
From: 27 Aug 2007,To: 27 Aug 2007,Sudan,FY 2007,3,Christian,3,150
From: 27 Aug 2007,To: 27 Aug 2007,Syria,FY 2007,5,Yazidi,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Uzbekistan,FY 2007,1,Moslem,1,150

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 27 Aug 2007,To: 27 Aug 2007,Baptist,FY 2007,3,Russia,3,150
From: 27 Aug 2007,To: 27 Aug 2007,Catholic,FY 2007,51,Iraq,51,150
From: 27 Aug 2007,To: 27 Aug 2007,Christian,FY 2007,38,Iran,16,150
From: 27 Aug 2007,To: 27 Aug 2007,Christian,FY 2007,38,Iraq,19,150
From: 27 Aug 2007,To: 27 Aug 2007,Christian,FY 2007,38,Sudan,3,150
From: 27 Aug 2007,To: 27 Aug 2007,Jehovah Witness,FY 2007,5,Eritrea,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Jewish,FY 2007,11,Azerbaijan,6,150
From: 27 Aug 2007,To: 27 Aug 2007,Jewish,FY 2007,11,Russia,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Moslem,FY 2007,15,Somalia,14,150
From: 27 Aug 2007,To: 27 Aug 2007,Moslem,FY 2007,15,Uzbekistan,1,150
From: 27 Aug 2007,To: 27 Aug 2007,Moslem Suni,FY 2007,14,Afghanistan,5,150
From: 27 Aug 2007,To: 27 Aug 2007,Moslem Suni,FY 2007,14,Iraq,9,150
From: 27 Aug 2007,To: 27 Aug 2007,No Religion,FY 2007,1,Russia,1,150
From: 27 Aug 2007,To: 27 Aug 2007,Pentecostalist,FY 2007,1,Russia,1,150
From: 27 Aug 2007,To: 27 Aug 2007,Sabeans-Mandean,FY 2007,4,Iran,4,150
From: 27 Aug 2007,To: 27 Aug 2007,Seventh Day Adventist,FY 2007,2,Russia,2,150
From: 27 Aug 2007,To: 27 Aug 2007,Yazidi,FY 2007,5,Syria,5,150

