textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 24 Jul 2002,To: 24 Jul 2002,Afghanistan,FY 2002,34,Moslem,3,122
From: 24 Jul 2002,To: 24 Jul 2002,Afghanistan,FY 2002,34,Moslem Shiite,8,122
From: 24 Jul 2002,To: 24 Jul 2002,Afghanistan,FY 2002,34,Moslem Suni,23,122
From: 24 Jul 2002,To: 24 Jul 2002,Iraq,FY 2002,9,Christian,2,122
From: 24 Jul 2002,To: 24 Jul 2002,Iraq,FY 2002,9,Moslem Shiite,7,122
From: 24 Jul 2002,To: 24 Jul 2002,Kyrgyzstan,FY 2002,7,Evangelical Christian,6,122
From: 24 Jul 2002,To: 24 Jul 2002,Kyrgyzstan,FY 2002,7,Pentecostalist,1,122
From: 24 Jul 2002,To: 24 Jul 2002,Liberia,FY 2002,35,Christian,34,122
From: 24 Jul 2002,To: 24 Jul 2002,Liberia,FY 2002,35,Pentecostalist,1,122
From: 24 Jul 2002,To: 24 Jul 2002,Russia,FY 2002,14,Baptist,10,122
From: 24 Jul 2002,To: 24 Jul 2002,Russia,FY 2002,14,Jewish,4,122
From: 24 Jul 2002,To: 24 Jul 2002,Sierra Leone,FY 2002,21,Christian,11,122
From: 24 Jul 2002,To: 24 Jul 2002,Sierra Leone,FY 2002,21,Moslem,10,122
From: 24 Jul 2002,To: 24 Jul 2002,Togo,FY 2002,1,Christian,1,122
From: 24 Jul 2002,To: 24 Jul 2002,Uzbekistan,FY 2002,1,No Religion,1,122

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 24 Jul 2002,To: 24 Jul 2002,Baptist,FY 2002,10,Russia,10,122
From: 24 Jul 2002,To: 24 Jul 2002,Christian,FY 2002,48,Iraq,2,122
From: 24 Jul 2002,To: 24 Jul 2002,Christian,FY 2002,48,Liberia,34,122
From: 24 Jul 2002,To: 24 Jul 2002,Christian,FY 2002,48,Sierra Leone,11,122
From: 24 Jul 2002,To: 24 Jul 2002,Christian,FY 2002,48,Togo,1,122
From: 24 Jul 2002,To: 24 Jul 2002,Evangelical Christian,FY 2002,6,Kyrgyzstan,6,122
From: 24 Jul 2002,To: 24 Jul 2002,Jewish,FY 2002,4,Russia,4,122
From: 24 Jul 2002,To: 24 Jul 2002,Moslem,FY 2002,13,Afghanistan,3,122
From: 24 Jul 2002,To: 24 Jul 2002,Moslem,FY 2002,13,Sierra Leone,10,122
From: 24 Jul 2002,To: 24 Jul 2002,Moslem Shiite,FY 2002,15,Afghanistan,8,122
From: 24 Jul 2002,To: 24 Jul 2002,Moslem Shiite,FY 2002,15,Iraq,7,122
From: 24 Jul 2002,To: 24 Jul 2002,Moslem Suni,FY 2002,23,Afghanistan,23,122
From: 24 Jul 2002,To: 24 Jul 2002,No Religion,FY 2002,1,Uzbekistan,1,122
From: 24 Jul 2002,To: 24 Jul 2002,Pentecostalist,FY 2002,2,Kyrgyzstan,1,122
From: 24 Jul 2002,To: 24 Jul 2002,Pentecostalist,FY 2002,2,Liberia,1,122

